expert,role,background,gender,age,hobbies,style,education_level,years_of_coding_experience
Journalist specialised on Technology,moderator, NA,NA,NA,NA,NA,NA,20
AI Professor,participant, NA,NA,NA,NA,NA,NA,20
AI Software Developer,participant, NA,NA,NA,NA,NA,NA,20
Machine Learning Engineer,participant, NA,NA,NA,NA,NA,NA,20
Data Scientist,participant, NA,NA,NA,NA,NA,NA,20
AI Ethicist,participant, NA,NA,NA,NA,NA,NA,20
Business Intelligence Analyst,participant, NA,NA,NA,NA,NA,NA,20
Computer Vision Engineer,participant, NA,NA,NA,NA,NA,NA,20
Natural Language Processing Engineer,participant, NA,NA,NA,NA,NA,NA,20
Robotics Engineer,participant, NA,NA,NA,NA,NA,NA,20
Data Engineer,participant, NA,NA,NA,NA,NA,NA,20
Electrical Engineer,participant, NA,NA,NA,NA,NA,NA,20
Architect,participant, NA,NA,NA,NA,NA,NA,20
Software Quality Assurance Tester,participant, NA,NA,NA,NA,NA,NA,20
Digital Marketing Specialist,participant, NA,NA,NA,NA,NA,NA,20
Business Analyst,participant, NA,NA,NA,NA,NA,NA,20
Customer Service Representative,participant, NA,NA,NA,NA,NA,NA,20
Lorry Driver,participant, NA,NA,NA,NA,NA,NA,20
Shop Assistant,participant, NA,NA,NA,NA,NA,NA,20
Barista,participant, NA,NA,NA,NA,NA,NA,20
Gardener,participant, NA,NA,NA,NA,NA,NA,20
Professor of Classics,participant, NA,NA,NA,NA,NA,NA,20
CTO of a Fintec,participant, NA,NA,NA,NA,NA,NA,20
Financial Analyst,participant, NA,NA,NA,NA,NA,NA,20
Human Resources Manager,participant, NA,NA,NA,NA,NA,NA,20
Marketing Manager,participant, NA,NA,NA,NA,NA,NA,20
Sales Manager,participant, NA,NA,NA,NA,NA,NA,20
Project Manager,participant, NA,NA,NA,NA,NA,NA,20
Product Manager,participant, NA,NA,NA,NA,NA,NA,20
Operations Manager,participant, NA,NA,NA,NA,NA,NA,20
Supply Chain Manager,participant, NA,NA,NA,NA,NA,NA,20
IT Manager,participant, NA,NA,NA,NA,NA,NA,20
Cybersecurity Specialist,participant, NA,NA,NA,NA,NA,NA,20
Network Administrator,participant, NA,NA,NA,NA,NA,NA,20
System Administrator,participant, NA,NA,NA,NA,NA,NA,20
Database Administrator,participant, NA,NA,NA,NA,NA,NA,20
Cloud Architect,participant, NA,NA,NA,NA,NA,NA,20
DevOps Engineer,participant, NA,NA,NA,NA,NA,NA,20
Full Stack Developer,participant, NA,NA,NA,NA,NA,NA,20
Frontend Developer,participant, NA,NA,NA,NA,NA,NA,20
Backend Developer,participant, NA,NA,NA,NA,NA,NA,20
Mobile App Developer,participant, NA,NA,NA,NA,NA,NA,20
Game Developer,participant, NA,NA,NA,NA,NA,NA,20
UX/UI Designer,participant, NA,NA,NA,NA,NA,NA,20
Graphic Designer,participant, NA,NA,NA,NA,NA,NA,20
Content Writer,participant, NA,NA,NA,NA,NA,NA,20
SEO Specialist,participant, NA,NA,NA,NA,NA,NA,20
Social Media Manager,participant, NA,NA,NA,NA,NA,NA,20
Public Relations Specialist,participant, NA,NA,NA,NA,NA,NA,20
Event Planner,participant, NA,NA,NA,NA,NA,NA,20
Travel Agent,participant, NA,NA,NA,NA,NA,NA,20
Hotel Manager,participant, NA,NA,NA,NA,NA,NA,20
Restaurant Manager,participant, NA,NA,NA,NA,NA,NA,20
Chef,participant, NA,NA,NA,NA,NA,NA,20
Bartender,participant, NA,NA,NA,NA,NA,NA,20
Waiter/Waitress,participant, NA,NA,NA,NA,NA,NA,20
Retail Manager,participant, NA,NA,NA,NA,NA,NA,20
Warehouse Manager,participant, NA,NA,NA,NA,NA,NA,20
Logistics Coordinator,participant, NA,NA,NA,NA,NA,NA,20
Procurement Specialist,participant, NA,NA,NA,NA,NA,NA,20
Construction Manager,participant, NA,NA,NA,NA,NA,NA,20
Civil Engineer,participant, NA,NA,NA,NA,NA,NA,20
Mechanical Engineer,participant, NA,NA,NA,NA,NA,NA,20
Chemical Engineer,participant, NA,NA,NA,NA,NA,NA,20
Environmental Engineer,participant, NA,NA,NA,NA,NA,NA,20
Aerospace Engineer,participant, NA,NA,NA,NA,NA,NA,20
Biomedical Engineer,participant, NA,NA,NA,NA,NA,NA,20
Industrial Engineer,participant, NA,NA,NA,NA,NA,NA,20
Petroleum Engineer,participant, NA,NA,NA,NA,NA,NA,20
Nuclear Engineer,participant, NA,NA,NA,NA,NA,NA,20
Agricultural Engineer,participant, NA,NA,NA,NA,NA,NA,20
Marine Engineer,participant, NA,NA,NA,NA,NA,NA,20
Mining Engineer,participant, NA,NA,NA,NA,NA,NA,20
Materials Engineer,participant, NA,NA,NA,NA,NA,NA,20
Manufacturing Engineer,participant, NA,NA,NA,NA,NA,NA,20
Quality Control Engineer,participant, NA,NA,NA,NA,NA,NA,20
Safety Engineer,participant, NA,NA,NA,NA,NA,NA,20
Fire Protection Engineer,participant, NA,NA,NA,NA,NA,NA,20
Structural Engineer,participant, NA,NA,NA,NA,NA,NA,20
Geotechnical Engineer,participant, NA,NA,NA,NA,NA,NA,20
Transportation Engineer,participant, NA,NA,NA,NA,NA,NA,20
Water Resources Engineer,participant, NA,NA,NA,NA,NA,NA,20
Environmental Scientist,participant, NA,NA,NA,NA,NA,NA,20
Geologist,participant, NA,NA,NA,NA,NA,NA,20
Meteorologist,participant, NA,NA,NA,NA,NA,NA,20
Astronomer,participant, NA,NA,NA,NA,NA,NA,20
Physicist,participant, NA,NA,NA,NA,NA,NA,20
Chemist,participant, NA,NA,NA,NA,NA,NA,20
Biologist,participant, NA,NA,NA,NA,NA,NA,20
Microbiologist,participant, NA,NA,NA,NA,NA,NA,20
Geneticist,participant, NA,NA,NA,NA,NA,NA,20
Neuroscientist,participant, NA,NA,NA,NA,NA,NA,20
Pharmacist,participant, NA,NA,NA,NA,NA,NA,20
Veterinarian,participant, NA,NA,NA,NA,NA,NA,20
Dentist,participant, NA,NA,NA,NA,NA,NA,20
Doctor,participant, NA,NA,NA,NA,NA,NA,20
Nurse,participant, NA,NA,NA,NA,NA,NA,20
Physical Therapist,participant, NA,NA,NA,NA,NA,NA,20
Occupational Therapist,participant, NA,NA,NA,NA,NA,NA,20
Speech Therapist,participant, NA,NA,NA,NA,NA,NA,20
Psychologist,participant, NA,NA,NA,NA,NA,NA,20
