Batch,Date,Persona,Iteration,Maverick,Tech_Score,Ethics_Score,Edu_Score,Idea_Buildup_Score,Tech_Score_Std,Normalized_Tech_Score,Ethics_Score_Std,Normalized_Ethics_Score,Edu_Score_Std,Normalized_Edu_Score,Idea_Buildup_Score_Std,Normalized_Idea_Buildup_Score,Tech_Rank,Idea_Buildup_Rank
201,2024-09-07 10:40:19,customer_service_representative_interview.txt,1,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,customer_service_representative_interview.txt,2,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,customer_service_representative_interview.txt,3,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,electrical_engineer_interview.txt,1,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,electrical_engineer_interview.txt,2,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,electrical_engineer_interview.txt,3,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,machine_learning_engineer_interview.txt,1,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,machine_learning_engineer_interview.txt,2,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,machine_learning_engineer_interview.txt,3,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,plumber_interview.txt,1,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,plumber_interview.txt,2,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,plumber_interview.txt,3,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,no_persona_interview.txt,1,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,no_persona_interview.txt,2,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,no_persona_interview.txt,3,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,shop_assistant_interview.txt,1,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,shop_assistant_interview.txt,2,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
201,2024-09-07 10:40:19,shop_assistant_interview.txt,3,0,0.0588235294117647,0.0,0.0,0.0,,,,,,,,,,
